AREAID,Long_,Lat,response_r,accept_r,rev_rating,price_pp,room_type,num_spots,poverty,crowded,dependency,without_hs,unemployed,income_pc,harship_in,num_crimes,num_theft,population
63,-87.69643521,41.79543063,100,92.5,91.375,23.59375,2.125,8,23.4,15.8,38.8,51.5,18.2,12171,93,4766,825,39894
64,-87.76851103,41.77958149,0,0,0,0,0,0,8.9,2.7,37.6,18.8,9.5,25113,29,1926,377,23139
65,-87.72692933,41.76977903,100,100,96.666667,20.333333,2.333333,3,14.9,5.8,39.6,33.6,9.6,16907,56,4214,1265,33355
66,-87.69566636,41.77184916,0,0,0,0,0,0,27.9,7.6,40.6,31.2,17.1,13231,80,12142,1812,55628
67,-87.66659636,41.77593029,100,96,88.272727,14,3,11,34.4,4.8,40.7,26.3,35.9,11317,89,14656,1820,35505
68,-87.6424972,41.7771977,100,96,85.777778,16.194444,2.888889,9,46.6,3.8,42.5,28.5,28,11888,94,13763,1748,30654
69,-87.61613417,41.76324707,93.333333,100,86.5,70,2,3,29.6,3.6,41,16.5,23,17285,66,13341,2098,32602
7,-87.64948972,41.92268612,90.977778,83.175896,93.223368,149.147253,1.343575,358,12.3,0.8,21.5,3.6,5.1,71551,2,7793,3646,64116
70,-87.70836549,41.74575691,75,100,0,155,1.5,2,10.4,4,36.9,17.7,11.7,23482,37,4894,1022,41081
71,-87.65630679,41.74420544,100,98,96.5,52.5,2,3,27.6,4,41.9,18.5,28.3,15528,74,15334,2265,48743
72,-87.67507505,41.71314973,95,78.833333,89.666667,91.714286,1.571429,7,5.1,0.9,40.5,3.7,8,39523,12,1912,571,20034
73,-87.64889549,41.71749388,0,0,0,0,0,0,16.9,1.1,42.6,13.7,20.8,19713,48,6378,1076,26493
74,-87.71319186,41.69487944,0,0,0,0,0,0,3.4,1,36.8,4.3,8.7,34381,16,1233,326,19093
75,-87.66905399,41.68972959,85.5,96.666667,97,67.933333,1,5,13.2,0.8,40.3,10.8,15,27149,30,3998,912,22544
76,-87.89370076,41.97568392,83.5,100,83,38.5,2.5,2,15.4,3.6,30.3,10.9,7.1,25828,24,3423,1011,12756
77,-87.66341661,41.98671223,94.42953,85.925676,94.540323,77.19951,1.582353,170,18.2,4.1,23.8,9.7,9.2,33385,19,4559,1409,56521
9,-87.81378103,42.00761315,100,95,91,25,1,1,3.3,1.1,35.3,7.4,6.5,40959,8,537,104,11187
